lineage	scope	seed	panel_id	scenario	approach	n_leaves	n_contaminants	n_predicted	n_true_positive	n_false_positive	precision	recall	f1	tree_rf_delta	collateral_genome_loss_count	runtime_seconds	status
chlam	mixed_high_level	303	chlam_mixed_high_level	mixed_high_level	recipient_consensus	0	5	2	2	0	1.0	0.4	0.5714285714285715	-0.0212765957446808	0	0.0	ok
chlam	mixed_high_level	303	chlam_mixed_high_level	mixed_high_level	gcp	486	5	4	3	1	0.75	0.6	0.6666666666666665	0.0	0	0.2280597686767578	ok
chlam	mixed_high_level	303	chlam_mixed_high_level	mixed_high_level	cmtv	486	5	25	1	24	0.04	0.2	0.06666666666666667	0.0	0	0.21828746795654297	ok
chlam	mixed_high_level	303	chlam_mixed_high_level	mixed_high_level	plie	486	5	13	3	10	0.23076923076923078	0.6	0.33333333333333337	0.0	0	0.3206028938293457	ok
flavo	genus	101	flavo_genus	replacement_only	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	0.0	0	0.0	ok
flavo	genus	101	flavo_genus	replacement_only	gcp	500	4	8	3	5	0.375	0.75	0.5	0.0	0	0.22844982147216797	ok
flavo	genus	101	flavo_genus	replacement_only	cmtv	500	4	34	1	33	0.029411764705882353	0.25	0.05263157894736842	0.0	0	0.2193293571472168	ok
flavo	genus	101	flavo_genus	replacement_only	plie	500	4	24	3	21	0.125	0.75	0.21428571428571427	0.0	0	0.26450037956237793	ok
flavo	genus	101	flavo_genus	combined	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	0.1276595744680851	0	0.0	ok
flavo	genus	101	flavo_genus	combined	gcp	500	4	6	3	3	0.5	0.75	0.6	0.0	0	0.22838234901428223	ok
flavo	genus	101	flavo_genus	combined	cmtv	500	4	32	1	31	0.03125	0.25	0.05555555555555555	0.0	0	0.21966075897216797	ok
flavo	genus	101	flavo_genus	combined	plie	500	4	23	3	20	0.13043478260869565	0.75	0.22222222222222218	0.0	0	0.2650158405303955	ok
flavo	genus	202	flavo_genus	replacement_only	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	0.0	0	0.0	ok
flavo	genus	202	flavo_genus	replacement_only	gcp	500	4	8	3	5	0.375	0.75	0.5	0.0	0	0.2616705894470215	ok
flavo	genus	202	flavo_genus	replacement_only	cmtv	500	4	34	1	33	0.029411764705882353	0.25	0.05263157894736842	0.0	0	0.235090970993042	ok
flavo	genus	202	flavo_genus	replacement_only	plie	500	4	19	3	16	0.15789473684210525	0.75	0.2608695652173913	0.0	0	0.2633705139160156	ok
flavo	genus	202	flavo_genus	combined	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	0.0638297872340425	0	0.0	ok
flavo	genus	202	flavo_genus	combined	gcp	500	4	7	4	3	0.5714285714285714	1.0	0.7272727272727273	0.0	0	0.23020267486572266	ok
flavo	genus	202	flavo_genus	combined	cmtv	500	4	35	2	33	0.05714285714285714	0.5	0.10256410256410256	0.0	0	0.21991562843322754	ok
flavo	genus	202	flavo_genus	combined	plie	500	4	19	4	15	0.21052631578947367	1.0	0.34782608695652173	0.0	0	0.2551150321960449	ok
flavo	genus	303	flavo_genus	replacement_only	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	-0.0425531914893616	0	0.0	ok
flavo	genus	303	flavo_genus	replacement_only	gcp	500	4	7	3	4	0.42857142857142855	0.75	0.5454545454545454	0.0	0	0.22751379013061523	ok
flavo	genus	303	flavo_genus	replacement_only	cmtv	500	4	34	2	32	0.058823529411764705	0.5	0.10526315789473684	0.0	0	0.22052383422851562	ok
flavo	genus	303	flavo_genus	replacement_only	plie	500	4	22	3	19	0.13636363636363635	0.75	0.23076923076923075	0.0	0	0.2546372413635254	ok
flavo	genus	303	flavo_genus	combined	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	0	0.0	ok
flavo	genus	303	flavo_genus	combined	gcp	500	4	5	1	4	0.2	0.25	0.22222222222222224	0.0	0	0.23205351829528809	ok
flavo	genus	303	flavo_genus	combined	cmtv	500	4	36	2	34	0.05555555555555555	0.5	0.09999999999999999	0.0	0	0.22525954246520996	ok
flavo	genus	303	flavo_genus	combined	plie	500	4	25	3	22	0.12	0.75	0.20689655172413793	0.0	0	0.2550499439239502	ok
flavo	family	101	flavo_family	replacement_only	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	0.0	0	0.0	ok
flavo	family	101	flavo_family	replacement_only	gcp	500	4	5	3	2	0.6	0.75	0.6666666666666665	0.0	0	0.23253083229064941	ok
flavo	family	101	flavo_family	replacement_only	cmtv	500	4	34	1	33	0.029411764705882353	0.25	0.05263157894736842	0.0	0	0.22683119773864746	ok
flavo	family	101	flavo_family	replacement_only	plie	500	4	14	2	12	0.14285714285714285	0.5	0.22222222222222224	0.0	0	0.2601783275604248	ok
flavo	family	101	flavo_family	combined	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0212765957446808	0	0.0	ok
flavo	family	101	flavo_family	combined	gcp	500	4	8	3	5	0.375	0.75	0.5	0.0	0	0.22978520393371582	ok
flavo	family	101	flavo_family	combined	cmtv	500	4	34	3	31	0.08823529411764706	0.75	0.15789473684210525	0.0	0	0.22073674201965332	ok
flavo	family	101	flavo_family	combined	plie	500	4	25	4	21	0.16	1.0	0.2758620689655173	0.0	0	0.25789618492126465	ok
flavo	family	202	flavo_family	replacement_only	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	-0.0212765957446808	0	0.0	ok
flavo	family	202	flavo_family	replacement_only	gcp	500	4	8	4	4	0.5	1.0	0.6666666666666666	0.0	0	0.22925615310668945	ok
flavo	family	202	flavo_family	replacement_only	cmtv	500	4	33	2	31	0.06060606060606061	0.5	0.10810810810810813	0.0	0	0.22191166877746582	ok
flavo	family	202	flavo_family	replacement_only	plie	500	4	25	4	21	0.16	1.0	0.2758620689655173	0.0	0	0.27779507637023926	ok
flavo	family	202	flavo_family	combined	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	0	0.0	ok
flavo	family	202	flavo_family	combined	gcp	500	4	9	4	5	0.4444444444444444	1.0	0.6153846153846153	0.0	0	0.22978782653808594	ok
flavo	family	202	flavo_family	combined	cmtv	500	4	35	3	32	0.08571428571428572	0.75	0.15384615384615383	0.0	0	0.22458744049072266	ok
flavo	family	202	flavo_family	combined	plie	500	4	26	4	22	0.15384615384615385	1.0	0.2666666666666667	0.0	0	0.2580716609954834	ok
flavo	family	303	flavo_family	replacement_only	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	0	0.0	ok
flavo	family	303	flavo_family	replacement_only	gcp	500	4	4	3	1	0.75	0.75	0.75	0.0	0	0.22742962837219238	ok
flavo	family	303	flavo_family	replacement_only	cmtv	500	4	32	3	29	0.09375	0.75	0.16666666666666666	0.0	0	0.2460792064666748	ok
flavo	family	303	flavo_family	replacement_only	plie	500	4	19	3	16	0.15789473684210525	0.75	0.2608695652173913	0.0	0	0.257796049118042	ok
flavo	family	303	flavo_family	combined	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	0	0.0	ok
flavo	family	303	flavo_family	combined	gcp	500	4	7	3	4	0.42857142857142855	0.75	0.5454545454545454	0.0	0	0.2263500690460205	ok
flavo	family	303	flavo_family	combined	cmtv	500	4	34	3	31	0.08823529411764706	0.75	0.15789473684210525	0.0	0	0.2267768383026123	ok
