lineage	scope	scenario	approach	n_panels	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	n_true_positive_mean	n_true_positive_std	n_false_positive_mean	n_false_positive_std
gamma	genus	replacement_only	recipient_consensus	3	0.3333333333333333	0.4714045207910317	0.08333333333333333	0.11785113019775792	0.13333333333333333	0.1885618083164127	0.3333333333333333	0.4714045207910317	0.0	0.0
gamma	mixed_high_level	mixed_high_level	cmtv	3	0.03571428571428571	0.029160592175990215	0.21666666666666667	0.16499158227686112	0.061237373737373736	0.04949269475383747	1.0	0.816496580927726	28.333333333333332	2.6246692913372702
gamma	mixed_high_level	mixed_high_level	gcp	3	0.5222222222222223	0.10999438818457404	0.7666666666666666	0.20548046676563256	0.6127946127946128	0.12158565713985038	3.6666666666666665	1.247219128924647	3.3333333333333335	1.247219128924647
gamma	mixed_high_level	mixed_high_level	plie	3	0.18452380952380953	0.04636238668868223	0.7666666666666666	0.20548046676563256	0.29743589743589743	0.07571704133453025	3.6666666666666665	1.247219128924647	15.666666666666666	1.247219128924647
gamma	mixed_high_level	mixed_high_level	recipient_consensus	3	1.0	0.0	0.4666666666666666	0.09428090415820632	0.6309523809523809	0.08417937871268413	2.3333333333333335	0.4714045207910317	0.0	0.0
gamma	order	combined	cmtv	3	0.04767986377181779	0.03377919868008067	0.3333333333333333	0.23570226039551584	0.08341479309221245	0.05906950377907936	1.3333333333333333	0.9428090415820634	27.666666666666668	2.494438257849294
gamma	order	combined	gcp	3	0.4219576719576719	0.1321825072524272	0.75	0.3535533905932738	0.5308857808857809	0.20380113480765646	3.0	1.4142135623730951	3.6666666666666665	0.9428090415820634
gamma	order	combined	plie	3	0.21587301587301588	0.14429610383953667	0.75	0.3535533905932738	0.3282539682539683	0.20065702108538133	3.0	1.4142135623730951	14.0	5.887840577551898
gamma	order	combined	recipient_consensus	3	1.0	0.0	0.6666666666666666	0.23570226039551584	0.7777777777777777	0.15713484026367724	2.6666666666666665	0.9428090415820634	0.0	0.0
gamma	order	replacement_only	cmtv	3	0.031746031746031744	0.04489566864676491	0.16666666666666666	0.23570226039551584	0.05333333333333334	0.07542472332656507	0.6666666666666666	0.9428090415820634	25.0	4.242640687119285
